3	4	3	3	.	4	3	5	3	1	1	1	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3	1	.	1	.	.	.	.	.	.	.	6	1	.	.	.	.	.	.	.	4	0	0	1	0	1	1	.	.	.	.	.	.	.	.	1	2	5	2	21124	.	1	1	.	0	1	0	1	1	0	4	1	.	1	1	3	3.25	1.66666666666667	4	.	.	.	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	4	4	4	3	1	1	1	3	4	4	4	4	4	.	.	.	.	.	.	.	.	.	.	.	.	.	4	5	2	3	1	.	4	5	2	3	2	3	0	3.2
3	3	4	3	.	3	3	2	2	2	1	1	1	2	4	4	4	4	4	1	2	1	1	1	1	6	6	6	1	1	1	3	1	.	1	.	.	.	.	.	.	.	5	1	1	.	.	.	.	.	.	1	0	1	0	0	1	1	.	.	5	4	4	3	4	.	1	1	3	2	62125	.	1	1	.	0	1	0	1	1	0	3	1	.	1	1	2	3.25	1.66666666666667	2.66666666666667	4	2.45454545454545	6	2	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4	4	5	3	4	3	2	5	1	5	5	5	5	1	4	1	1	1	.	1	3	1	1	1	5	1	1.4
4	4	3	5	.	3	4	3	3	3	4	1	1	2	4	4	5	5	5	5	3	3	3	1	3	5	6	6	4	6	6	3	1	.	1	.	.	.	.	.	.	.	5	1	.	.	.	.	.	1	.	1	0	1	0	0	1	1	.	.	4	4	4	3	2	.	1	1	3	2	62128	.	1	1	.	0	1	0	1	1	0	3	1	.	1	1	2	4	3.33333333333333	3.33333333333333	3.4	3.72727272727273	5.66666666666667	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4	4	4	4	1	1	1	1	5	5	5	5	5	.	.	.	.	.	.	.	.	.	.	.	.	.	6	1	1	6	1	.	2	6	2	1	1	.	0	2.4
4	4	5	4	.	5	5	5	5	1	1	2	2	1	5	5	5	5	5	5	3	3	4	3	2	1	1	1	1	1	1	3	1	.	1	.	1	.	.	.	.	.	5	1	.	.	.	.	.	.	.	2	0	1	0	0	1	1	.	.	3	5	5	4	3	.	1	3	3	2	29169	.	1	1	.	0	1	0	1	1	0	3	1	.	1	1	4	4.25	2.33333333333333	5	4	4.09090909090909	1	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	5	3	3	4	2	2	3	4	3	4	4	4	.	.	.	.	.	.	.	.	.	.	.	.	.	6	7	1	6	2	1	5	5	2	6	5	.	1	4.6
2	3	3	2	.	3	3	5	2	1	1	2	2	2	4	4	4	4	4	5	4	5	1	1	1	5	5	5	1	1	1	3	1	.	1	.	.	.	.	.	.	.	5	1	.	.	.	.	.	.	.	3	0	0	1	0	1	1	.	.	3	3	3	3	2	1	.	5	3	2	31237	1	1	1	.	0	1	0	1	1	0	3	1	0	.	0	4	2.5	1.33333333333333	3.66666666666667	2.8	3.36363636363636	5	1	1	1	4	5	2	4	2	3	1	1	2	5	5	5	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6	7	4	7	3	7	4	6	1	3	5	4	0	3.8
3	3	3	2	.	3	3	3	2	1	1	1	1	1	4	5	5	4	4	2	2	2	2	1	1	5	4	1	1	1	1	3	1	.	1	.	.	.	.	.	.	.	4	.	1	.	.	.	.	.	.	5	0	0	0	0	0	1	.	.	5	5	5	5	5	.	1	3	5	2	61128	.	1	1	.	0	1	0	1	1	0	2	0	.	1	1	2	2.75	1.33333333333333	3	5	2.90909090909091	3.33333333333333	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	5	5	5	4	1	4	1	1	5	4	4	4	5	.	.	.	.	.	.	.	.	.	.	.	.	.	5	4	4	5	2	.	5	5	3	3	5	3	0	4.2
3	3	4	2	.	3	3	2	2	1	3	1	2	1	5	4	5	4	5	1	1	1	1	1	1	1	1	1	6	6	5	3	1	.	1	.	.	.	.	.	.	.	3	1	.	.	1	.	.	.	.	1	0	1	0	0	1	1	.	.	2	3	3	3	2	.	1	1	3	2	55122	.	1	1	.	0	1	0	1	1	0	2	0	.	1	1	3	3	2	2.66666666666667	2.6	2.63636363636364	1	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3	4	4	3	5	2	2	4	1	5	5	5	5	6	3	2	4	4	.	6	7	4	7	7	2	0	6.2
1	2	3	2	.	2	2	2	1	1	1	1	1	3	5	5	5	3	3	3	3	2	2	2	1	6	5	5	1	1	1	3	1	.	1	.	.	1	.	.	.	.	3	.	1	.	.	.	.	.	.	5	0	0	1	0	1	1	.	.	4	4	3	3	2	1	.	5	5	2	45199	1	1	1	.	0	1	0	1	1	0	2	0	0	.	0	2	2	1	2	3.2	3.09090909090909	5.33333333333333	2	1	1	4	5	3	3	2	2	1	1	1	4	5	5	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	2	2	1	1	4	1	1	1	2	5	1	1.8
3	3	3	3	.	3	3	3	3	2	2	1	2	1	5	5	5	5	5	5	4	4	5	4	4	4	5	4	1	1	1	3	1	.	1	.	.	.	.	.	.	.	4	1	.	.	.	.	1	.	.	1	0	1	0	0	0	0	.	.	4	4	4	5	4	1	.	5	4	2	27236	1	1	1	.	0	1	0	1	1	0	2	0	0	.	0	3	3	2.33333333333333	3	4.2	4.63636363636364	4.33333333333333	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4	3	4	4	3	.	1	2	1	4	4	5	4	4	6	2	3	2	.	5	5	1	1	4	4	0	3.2
3	4	2	3	.	3	3	3	2	1	1	1	1	2	4	5	5	5	5	3	2	1	1	1	1	6	7	6	1	1	1	3	1	.	1	.	.	.	.	.	.	.	3	1	.	.	.	.	.	.	.	2	0	1	0	0	0	0	.	.	5	5	5	4	3	1	.	3	4	2	18270	1	1	1	.	0	1	0	1	1	0	2	0	0	.	0	2	3	1.33333333333333	3	4.4	3	6.33333333333333	2	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	5	5	5	5	5	5	5	1	5	5	5	5	5	7	7	7	7	.	4	4	1	1	1	5	1	2.2
3	3	3	2	.	2	1	1	1	1	1	1	1	1	4	4	5	4	4	4	3	1	1	1	1	6	6	4	6	6	6	3	1	.	1	.	.	.	.	.	.	.	8	1	.	.	.	.	.	.	.	1	0	1	0	0	0	0	.	.	3	3	3	3	5	.	1	5	4	2	53166	.	1	1	.	0	1	0	1	1	0	4	1	.	1	1	2	2.75	1	1.33333333333333	3.4	2.90909090909091	5.33333333333333	2	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	1	.
3	3	3	2	.	3	3	2	2	1	1	1	1	3	3	4	3	4	4	1	1	1	1	1	1	1	1	1	1	1	1	3	.	.	1	.	1	.	.	.	.	.	8	.	.	.	.	.	1	.	.	.	0	1	0	0	0	0	.	.	2	3	3	3	2	1	.	5	4	2	14192	1	3	1	.	0	1	0	1	1	.	4	1	0	.	0	2	2.75	1.33333333333333	2.66666666666667	2.6	2.18181818181818	1	1	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3	0	.
3	3	3	3	.	4	3	3	2	1	1	1	1	2	2	3	5	4	3	2	2	1	1	1	1	1	1	1	1	1	1	3	1	.	1	.	.	.	.	.	.	.	9	1	1	.	.	.	.	.	.	2	0	1	0	0	0	0	.	.	2	4	3	3	3	1	.	3	5	1	14166	0	1	1	.	0	1	0	1	1	0	5	1	0	.	0	2	3	1.33333333333333	3.33333333333333	3	2.27272727272727	1	2	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	5	5	5	5	5	4	5	4	5	5	5	4	6	3	1	2	3	1	2	6	2	2	6	.	1	3.6
3	4	3	3	.	3	3	3	3	2	2	1	1	2	4	5	5	5	5	3	2	1	4	1	1	5	5	5	1	1	1	3	1	.	1	.	.	.	.	.	.	.	9	1	1	.	.	.	.	.	.	2	0	1	0	0	0	0	.	.	5	5	5	5	4	1	.	6	5	2	15175	1	1	1	.	0	1	0	1	1	0	5	1	0	.	0	2	3.25	2.33333333333333	3	4.8	3.27272727272727	5	2	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	3	4	3	2	1	1	1	1	4	4	4	3	3	.	.	.	.	.	.	.	.	.	.	.	.	.	4	4	3	4	3	.	3	2	1	1	1	5	1	1.6
3	3	4	3	.	3	3	5	2	3	2	2	2	1	5	5	5	5	5	3	2	1	2	4	5	5	5	5	1	1	1	3	1	.	1	.	.	.	.	.	.	.	9	1	1	.	.	.	.	.	.	2	0	1	0	0	0	0	.	.	4	5	3	5	5	.	1	6	5	2	48148	.	1	1	.	0	1	0	1	1	0	5	1	.	1	1	4	3.25	2.33333333333333	3.66666666666667	4.4	3.81818181818182	5	2	1	1	5	5	3	2	2	1	2	4	1	5	5	4	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4	4	1	3	1	1	1	1	1	1	1	5	1	1
2	3	3	3	.	4	3	3	2	2	2	1	1	1	5	5	5	4	3	3	2	2	2	3	2	6	6	4	5	5	4	3	1	.	1	.	.	.	.	.	.	.	9	1	.	.	.	.	.	.	.	3	0	1	0	0	0	0	.	.	2	3	3	3	2	1	.	6	4	2	13185	1	1	1	.	0	1	0	1	1	0	5	1	0	.	0	2	2.75	2	3.33333333333333	2.6	3.27272727272727	5.33333333333333	2	1	.	4	5	2	3	3	4	1	2	2	4	4	5	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	7	6	1	6	4	.	5	6	2	2	2	.	1	3.4
